_ID_;_MAIN_CATEGORY_;_NAME_;_MODEL_;_SKU_;_EAN_;_JAN_;_ISBN_;_MPN_;_UPC_;_MANUFACTURER_;_LOCATION_;_PRICE_;_QUANTITY_;_LENGTH_;_SEO_KEYWORD_;_DISCOUNT_;_SPECIAL_;_RELATED_ISBN_;_URL_
102;Ford|Galaxy;"Крышка багажника (дверь 3-5) Ford, 2003 (22743249)";22743249;;;;;;;"Крышка багажника (дверь 3-5)";;120.0000;1;2003;kryshka-bagazhnika-dver-3-5-ford-2003-22743249;;;;https://d4.by/ford/galaxy/kryshka-bagazhnika-dver-3-5-ford-2003-22743249
103;Audi|80;"Дверь передняя левая Audi, 1994 (22744165)";22744165;;;;;;;"Дверь передняя левая";;35.0000;1;1994;dver-perednyaya-levaya-audi-1994-22744165;;;;https://d4.by/audi/80/dver-perednyaya-levaya-audi-1994-22744165
104;Volkswagen|Sharan;"Форточка задняя левая Volkswagen, 2001 (22746052)";22746052;;;1,9;дизель;;;"Форточка задняя левая";;25.0000;1;2001;fortochka-zadnyaya-levaya-volkswagen-2001-22746052;;;;https://d4.by/volkswagen/sharan/fortochka-zadnyaya-levaya-volkswagen-2001-22746052
105;Volkswagen|Sharan;"Форточка задняя правая Volkswagen, 2001 (22746060)";22746060;;;1,9;дизель;;;"Форточка задняя правая";;25.0000;1;2001;fortochka-zadnyaya-pravaya-volkswagen-2001-22746060;;;;https://d4.by/volkswagen/sharan/fortochka-zadnyaya-pravaya-volkswagen-2001-22746060
106;Peugeot|207;"Крышка багажника (дверь 3-5) Peugeot, 2007 (22749522)";22749522;;;;;;;"Крышка багажника (дверь 3-5)";;175.0000;1;2007;kryshka-bagazhnika-dver-3-5-peugeot-2007-22749522;;;;https://d4.by/peugeot/207/kryshka-bagazhnika-dver-3-5-peugeot-2007-22749522
107;Ford|S-Max;"Дверь передняя левая Ford, 2008 (22749563)";22749563;;;;;;;"Дверь передняя левая";;110.0000;1;2008;dver-perednyaya-levaya-ford-2008-22749563;;;;https://d4.by/ford/s-max/dver-perednyaya-levaya-ford-2008-22749563
108;Ford|S-Max;"Дверь задняя левая Ford, 2008 (22749579)";22749579;;;;;;;"Дверь задняя левая";;85.0000;1;2008;dver-zadnyaya-levaya-ford-2008-22749579;;;;https://d4.by/ford/s-max/dver-zadnyaya-levaya-ford-2008-22749579
109;Ford|S-Max;"Дверь задняя правая Ford, 2008 (22749591)";22749591;;;;;;;"Дверь задняя правая";;85.0000;1;2008;dver-zadnyaya-pravaya-ford-2008-22749591;;;;https://d4.by/ford/s-max/dver-zadnyaya-pravaya-ford-2008-22749591
110;"Chrysler|Grand Voyager";"Бампер передний Chrysler, 2005 (22749665)";22749665;;;;;;;"Бампер передний";;150.0000;1;2005;bamper-perednij-chrysler-2005-22749665;;;;https://d4.by/chrysler/grand-voyager/bamper-perednij-chrysler-2005-22749665
111;Volkswagen|Sharan;"Крепление запаски Volkswagen, 2002 (22762621)";22762621;;;;;;;"Крепление запаски";;35.0000;1;2002;kreplenie-zapaski-volkswagen-2002-22762621;;;;https://d4.by/volkswagen/sharan/kreplenie-zapaski-volkswagen-2002-22762621
112;Ford|Focus;"Прицепное устройство (фаркоп) Ford, 2006 (22764621)";22764621;;;;;;;"Прицепное устройство (фаркоп)";;55.0000;1;2006;pricepnoe-ustrojstvo-farkop-ford-2006-22764621;;;;https://d4.by/ford/focus/pricepnoe-ustrojstvo-farkop-ford-2006-22764621
113;Opel|Vivaro;"Дверь задняя распашная левая Opel, 2007 (22765602)";22765602;;;;;;;"Дверь задняя распашная левая";;80.0000;1;2007;dver-zadnyaya-raspashnaya-levaya-opel-2007-22765602;;;;https://d4.by/opel/vivaro/dver-zadnyaya-raspashnaya-levaya-opel-2007-22765602
114;Opel|Zafira;"Ус под фонарь левый Opel, 2006 (22765640)";22765640;;;;;;;"Ус под фонарь левый";;40.0000;1;2006;us-pod-fonar-levyj-opel-2006-22765640;;;;https://d4.by/opel/zafira/us-pod-fonar-levyj-opel-2006-22765640
115;Volkswagen|Passat;"КПП механическая (МКПП) Volkswagen, 2002 (22765708)";22765708;;;1,9;дизель;TDi;МКПП;"КПП механическая (МКПП)";;75.0000;1;2002;kpp-mehanicheskaya-mkpp-volkswagen-2002-22765708;;;;https://d4.by/volkswagen/passat/kpp-mehanicheskaya-mkpp-volkswagen-2002-22765708
116;"Alfa Romeo|159";"Фара левая Alfa Romeo, 2007 (22779416)";22779416;;;;;;;"Фара левая";;100.0000;1;2007;fara-levaya-alfa-romeo-2007-22779416;;;;https://d4.by/alfa-romeo/159/fara-levaya-alfa-romeo-2007-22779416
117;Volkswagen|Sharan;"КПП механическая (МКПП) Volkswagen, 2002 (22779472)";22779472;;;1,9;дизель;;МКПП;"КПП механическая (МКПП)";;145.0000;1;2002;kpp-mehanicheskaya-mkpp-volkswagen-2002-22779472;;;;https://d4.by/volkswagen/sharan/kpp-mehanicheskaya-mkpp-volkswagen-2002-22779472
118;Opel|Astra;"Двигатель Opel, 2003 (22779494)";22779494;;;1,7;дизель;DTi;;Двигатель;;250.0000;1;2003;dvigatel-opel-2003-22779494;;;;https://d4.by/opel/astra/dvigatel-opel-2003-22779494
119;Volkswagen|Touran;"Фара левая Volkswagen, 2005 (22781716)";22781716;;;;;;;"Фара левая";;60.0000;1;2005;fara-levaya-volkswagen-2005-22781716;;;;https://d4.by/volkswagen/touran/fara-levaya-volkswagen-2005-22781716
120;Suzuki|Swift;"Двигатель Suzuki, 2007 (22781887)";22781887;;;1,3;бензин;;;Двигатель;;155.0000;1;2007;dvigatel-suzuki-2007-22781887;;;;https://d4.by/suzuki/swift/dvigatel-suzuki-2007-22781887
121;Peugeot|Boxer;"Двигатель Peugeot, 2003 (22781916)";22781916;;;2,2;дизель;HDi;;Двигатель;;300.0000;1;2003;dvigatel-peugeot-2003-22781916;;;;https://d4.by/peugeot/boxer/dvigatel-peugeot-2003-22781916
